1,1724400,933200,ogółem,2013-12-31
1,96000,46500, 0-4 lata,2013-12-31
1,82600,40400,5-9 lata,2013-12-31
1,61700,30300,10-14 lata,2013-12-31
1,61600,30300,15-19 lata,2013-12-31
1,85700,43300,20-24 lata,2013-12-31
1,138500,73000,25-29 lata,2013-12-31
1,166000,87700,30-34 lata,2013-12-31
1,156500,82100,35-39 lata,2013-12-31
1,114400,58800,40-44 lata,2013-12-31
1,88700,45900,45-49 lata,2013-12-31
1,98200,52600,50-54 lata,2013-12-31
1,133100,73500,55-59 lata,2013-12-31
1,125900,71100,60-64 lata,2013-12-31
1,91600,53800,65-69 lata,2013-12-31
1,64100,39300,70-74 lata,2013-12-31
1,64700,41600,75-79 lata,2013-12-31
1,95000,63000,80 lat i więcej,2013-12-31
2,711300,387600,ogółem,2013-12-31
2,17800,8700,0-2 lata,2013-12-31
2,25200,12300,3-6 lat,2013-12-31
2,31300,15100,7-12 lat,2013-12-31
2,15100,7400,13-15 lat,2013-12-31
2,17300,8400,16-18 lat,2013-12-31
2,44700,22300,19-24 lat,2013-12-31
2,111300,56100,25-34 lat,2013-12-31
2,101200,51300,35-44 lat,2013-12-31
2,85800,46100,45-54 lat,2013-12-31
2,124300,70600,55-64 lat,2013-12-31
2,137500,89500,65 lat i więcej,2013-12-31
3,758334,405051,ogółem,2012-12-31
3,23201,11053,0-2 lata,2012-12-31
3,29265,14303,3-6 lat,2012-12-31
3,34750,16765,7-12 lat,2012-12-31
3,17202,8511,13-15 lata,2012-12-31
3,19550,9645,16-18 lata,2012-12-31
3,61436,31234,19-24 lata,2012-12-31
3,70129,36425,25-29 lata,2012-12-31
3,69171,35472,30-34 lata,2012-12-31
3,61272,31337,35-39 lata,2012-12-31
3,47436,24275,40-44 lata,2012-12-31
3,42322,21892,45-49 lata,2012-12-31
3,47864,25698,50-54 lata,2012-12-31
3,56943,31440,55-59 lata,2012-12-31
3,51666,29210,60-64 lata,2012-12-31
3,38476,22034,65-69 lata,2012-12-31
3,27876,16573,70-74 lata,2012-12-31
3,25983,16228,78-79 lata,2012-12-31
3,20101,13173,80 -84 lata,2012-12-31
3,9976,6988,85-89 lata,2012-12-31
3,3060,2266,90-94 lata,2012-12-31
3,522,418,95-99 lata,2012-12-31
3,133,111,100 lat i więcej ,2012-12-31
4,631235,336666,ogółem,2011-12-31
4,19794,9634,0-2 lata,2011-12-31
4,22832,11258,3-6 lat,2011-12-31
4,35024,17092,7-14 lat,2011-12-31
4,14990,7316,15-17 lat,2011-12-31
4,11224,5519,18-19 lat,2011-12-31
4,46029,23601,20-24 lat,2011-12-31
4,60924,31135,25-29 lat,2011-12-31
4,58367,29540,30-34 lat,2011-12-31
4,48765,24625,35-39 lat,2011-12-31
4,35308,17684,40-44 lat,2011-12-31
4,33902,17550,45-49 lat,2011-12-31
4,43660,23247,50-54 lat,2011-12-31
4,52356,28628,55-59 lat,2011-12-31
4,46968,26170,60-64 lat,2011-12-31
4,25574,14735,65-69 lat,2011-12-31
4,23792,14574,70-74 lat,2011-12-31
4,22486,14303,75-79 lat,2011-12-31
4,17380,11563,80-84 lat,2011-12-31
4,11860,8492,85 lat i więcej,2011-12-31
5,550742,256499,ogółem,2012-12-31
5,17451,8977,0-2 lata,2012-12-31
5,21530,11088,3-6 lat,2012-12-31
5,24743,12727,7-12 lat,2012-12-31
5,12119,6155,13-15 lat,2012-12-31
5,13500,6849,16-18 lat,2012-12-31
5,42888,21048,19-24 lat,2012-12-31
5,103599,50680,25-34 lat,2012-12-31
5,76899,37877,35-44 lat,2012-12-31
5,63288,30054,45-54 lat,2012-12-31
5,84589,37271,55-64 lat,2012-12-31
5,90136,33773,65 lat i więcej,2012-12-31
6,456658,216374,ogółem,2007-12-31
6,12540,6481,0-2 lata,2007-12-31
6,14849,7603,3-6 lat,2007-12-31
6,33025,16808,7-14 lat,2007-12-31
6,15505,8014,15-17 lat,2007-12-31
6,11548,5818,18-19 lat,2007-12-31
6,37690,18680,20-24 lat,2007-12-31
6,40731,19917,25-29 lat,2007-12-31
6,38529,19406,30-34 lat,2007-12-31
6,29458,14892,35-39 lat,2007-12-31
6,26148,13091,40-44 lat,2007-12-31
6,31662,15129,45-49 lat,2007-12-31
6,38491,17656,50-54 lat,2007-12-31
6,36753,16976,55-59 lat,2007-12-31
6,21584,9685,60-64 lat,2007-12-31
6,20151,8722,65-69 lat,2007-12-31
6,18431,7686,70-74 lat,2007-12-31
6,14542,5453,75-79 lat,2007-12-31
6,15021,4357,80-84 lat,2007-12-31
